order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,nearest_warehouse_normalized,season_normalized
ORD057529,ID6167413275,2019-07-26,nickolson,"[('iAssist Line', 2), ('iStream', 2)]",4750.0,76.46,-37.8153749,144.9596659,10,4351.46,Winter,False,0.939244905816976,,False,nickolson,winter
ORD182030,ID0767752593,2019-10-14,nickolson,"[('Olivia x460', 2), ('iStream', 1), ('Thunder line', 1), ('iAssist Line', 2)]",9230.0,83.35,-37.8049263,144.969378,5,8851.85,Spring,False,1.5199660731439109,"phone fast and speedy. filled with features , tweaks. this phone has exceeded my expectations with cooling and not melting my fingers like razer 2 phone . i bought it after thorough research and it definitely lived up to the hype!! the features, tweaks, make up for screen only being 90hz.",True,nickolson,spring
ORD386119,ID0164063139,2019-09-18,thompson,"[('Toshika 750', 2), ('iStream', 2)]",8940.0,75.88,-37.81488220000001,144.9549312,5,8568.88,Spring,True,0.7330406138803738,pretty cool. i have only begun to figure out things she does.,True,thompson,spring
ORD488733,ID0332544860,2019-08-14,thompson,"[('Lucent 330S', 2), ('iStream', 2), ('Alcon 10', 2), ('Candle Inferno', 2)]",25670.0,62.28,-37.8110223,144.9505115,0,25732.28,Winter,True,0.353776717250513,working great! my mom still using working great ! my mom still using!!,True,thompson,winter
ORD131365,ID2317966813,2019-04-06,nickolson,"[('Universe Note', 1), ('Olivia x460', 2)]",5900.0,79.65,-37.8106451,144.9756601,5,5684.65,Summer,False,1.0341303168408655,olivia all the way best phone i ever had.,True,nickolson,summer
ORD320331,ID1404234341,2019-12-09,bakers,"[('Lucent 330S', 2), ('iStream', 1), ('iAssist Line', 1), ('Universe Note', 2)]",11735.0,65.56,-37.8106886,144.9970119,0,11800.56,Summer,True,0.17429444175826117,so far i love it. the only thing that was missing was ... so far i love it. the only thing that was missing was the instruction manual. i've kind of had to figure out how things work on my own,True,bakers,summer
ORD327578,ID1462398718,2019-01-01,bakers,"[('Lucent 330S', 1), ('Toshika 750', 2)]",1530.0,88.76,-37.8200419,145.0131268,0,1618.76,Summer,False,1.9284128667648914,spartan technologies phone is advertised as a t-mobile phone. however the phone is not compatible with t-mobile at all. false advertising and a terrible seller.,False,bakers,summer
ORD472675,ID6167231031,2019-11-19,nickolson,"[('Lucent 330S', 1), ('Universe Note', 1)]",4680.0,76.85,-37.81322520000001,144.959461,10,4288.85,Spring,False,1.068691079442555,"perfect nice charger, convenience",True,nickolson,spring
ORD346000,ID0387153096,,thompson,"[('iStream', 2), ('Alcon 10', 1), ('Lucent 330S', 1)]",10480.0,93.65,-37.8073183,144.9534925,25,7953.65,Summer,True,0.8203601171295559,"five stars my father loves the phone, looks brand new.",True,thompson,summer
ORD075064,ID6207067487,2019-06-09,nickolson,"[('Candle Inferno', 2), ('Universe Note', 1)]",4310.0,57.99,-37.8027124,144.9651559,5,4152.49,Winter,False,1.807777539270087,"caja del celular abierta la caja del celular llego abierto, y yo compre el celular nuevo, que paso?",False,nickolson,winter
