order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,shopping_cart_parsed
ORD412838,ID0591415025,2019-01-25,Nickolson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Olivia x460', 2)]",13550.0,71.83,-37.8191633,144.961103,0,13621.83,Summer,False,0.7456,works great- awesome deal i was hesitant to purchase the phone but finally took the chance and it works amazing. it came looking brand new and was easy to switch over and set up.,1,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Olivia x460', 2)]"
ORD425624,ID0733678621,2019-12-10,Nickolson,"[('iStream', 2), ('Lucent 330S', 2), ('pearTV', 2)]",13073.0,97.93,-37.8238484,144.9825189,15,13170.93,Summer,True,1.2815,works on verizon wireless prepaid great phone. a bit hard to hold due to size. works on verizon wireless prepaid.,1,"[('iStream', 2), ('Lucent 330S', 2), ('pearTV', 2)]"
ORD198226,ID2181275341,2019-05-12,Nickolson,"[('Universe Note', 2), ('Toshika 750', 2)]",11655.0,65.56,-37.8104033,144.96080980000005,25,11720.56,Autumn,False,1.1927,four stars excellent !,1,"[('Universe Note', 2), ('Toshika 750', 2)]"
ORD429072,ID0131247295,2019-05-20,Nickolson,"[('iAssist Line', 1), ('Toshika 750', 1)]",5563.25,80.43,-37.8137204,144.9610399,15,5643.68,Autumn,True,0.9245,"great value for the price i bought the phone for my kids and they loved. good cameras, very fast and deal well with games. very large and robust screen and has a great visual aspect. its impossible to buy something better for the money.",1,"[('iAssist Line', 1), ('Toshika 750', 1)]"
ORD490839,ID1982329495,2019-04-04,Bakers,"[('Olivia x460', 2), ('Thunder line', 2), ('iAssist Line', 2), ('Candle Inferno', 2)]",10302.0,79.8675262675555,-37.8022278,144.9905989,15,10381.03,Autumn,True,0.9559,three stars the screen is pretty small and hard to read for older eyes.,1,"[('Olivia x460', 2), ('Thunder line', 2), ('iAssist Line', 2), ('Candle Inferno', 2)]"
ORD281801,ID0547588459,2019-03-31,Bakers,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Alcon 10', 2)]",14666.25,64.85,-37.8163524,144.9883405,25,14731.1,Autumn,False,0.9316,yes to the a30 i got the universe a30 for trip to use abroad and it has been awesome. the camera is great but for the price it does a good job. call quality is just as good as the universe s10. the size of the screen is great! overall i am very happy with this purchase.,1,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Alcon 10', 2)]"
ORD114971,ID0260907252,2019-10-26,Bakers,"[('iStream', 1), ('Candle Inferno', 2)]",909.0,109.69,-37.8238164,145.0094445,10,1018.69,Spring,True,1.9821,five stars very good.. nice size.. good clarity,1,"[('iStream', 1), ('Candle Inferno', 2)]"
ORD413688,ID0176693430,2019-04-27,Nickolson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('iStream', 1)]",8437.499999999996,81.0,-37.8107471,144.9636534,25,6409.124999999997,Autumn,True,1.016,if you want a phone with a great battery this is it if you want a phone with a great battery this is it. if you like good pictures but something else.,1,"[('Lucent 330S', 2), ('Toshika 750', 2), ('iStream', 1)]"
ORD326280,ID4655086240,2019-07-22,Thompson,"[('Toshika 750', 2), ('iAssist Line', 1), ('Lucent 330S', 2), ('Olivia x460', 1)]",12367.5,59.79,-37.8109126,144.9457174,15,12427.29,Winter,True,0.2292,this is not a new phone as u posted! ... this is not a new phone as u posted! the speakers don't work! i need to get some cash back. kmt,0,"[('Toshika 750', 2), ('iAssist Line', 1), ('Lucent 330S', 2), ('Olivia x460', 1)]"
ORD469992,ID6167229082,2019-04-28,Thompson,"[('Alcon 10', 2), ('Lucent 330S', 1), ('Universe Note', 2), ('Olivia x460', 2)]",21360.0,80.17,-37.8210112,144.9552251,25,21440.17,Autumn,True,1.173,"camear i love the ability too write notes, the remote camera click on the pen i haven't used all the features yet but i like what i've used. i especially like the price i paid on 'gold days'",1,"[('Alcon 10', 2), ('Lucent 330S', 1), ('Universe Note', 2), ('Olivia x460', 2)]"
ORD190625,ID2442297442,2019-10-13,Thompson,"[('Thunder line', 2), ('Universe Note', 2), ('Alcon 10', 2)]",27702.0,101.03,-37.8189711,144.95199440000005,5,27803.03,Spring,True,0.8241,so far good so far good,1,"[('Thunder line', 2), ('Universe Note', 2), ('Alcon 10', 2)]"
ORD289510,ID0302567006,2019-04-07,Bakers,"[('Universe Note', 2), ('Thunder line', 1), ('pearTV', 2), ('Candle Inferno', 1)]",16597.5,83.97,-37.7991553,144.9806399,25,16681.47,Autumn,True,1.7617,i live this item.  i bought several for each room in the house and as a gift for my mom.  i also use mine to travel with.,1,"[('Universe Note', 2), ('Thunder line', 1), ('pearTV', 2), ('Candle Inferno', 1)]"
ORD342586,ID0636756265,2019-04-19,Thompson,"[('Universe Note', 1), ('Lucent 330S', 2), ('Thunder line', 2), ('Candle Inferno', 2)]",9460.5,78.57,-37.8209141,144.95213669999995,15,9539.07,Autumn,True,1.0187539393665452,three stars perfect - but cant get internet any longer - outdated tech,1,"[('Universe Note', 1), ('Lucent 330S', 2), ('Thunder line', 2), ('Candle Inferno', 2)]"
ORD353111,ID0589473304,2019-04-10,Nickolson,"[('pearTV', 1), ('Lucent 330S', 2), ('Candle Inferno', 2), ('Universe Note', 2)]",16530.0,66.11,-37.8199269,144.95905,0,16596.11,Autumn,True,0.9352,"absolute not a brand new one!!!!!!! firstly, the screen is loose and always dead, i buy it last year, almost 7months ago, i am just a international student who just arrive in the us, and i don't know how to complain it. in the past 6 months , i think just let it go. but recently, so many bugs and dead!!! i think this is not a brand new phone",0,"[('pearTV', 1), ('Lucent 330S', 2), ('Candle Inferno', 2), ('Universe Note', 2)]"
ORD421220,ID0304466089,2019-10-21,Nickolson,"[('Thunder line', 1), ('iStream', 2), ('Olivia x460', 2)]",4190.5,72.98,-37.8182242,144.9642994,15,4263.48,Spring,False,0.4631359728642979,"good phone for great money i'm very happy with this phone. for a little more than 200 euro, i have all that i need.",1,"[('Thunder line', 1), ('iStream', 2), ('Olivia x460', 2)]"
ORD011521,ID0207085738,2019-03-31,Bakers,"[('Lucent 330S', 2), ('Universe Note', 2)]",7956.0,69.29790557540485,-37.8125849,145.01552869999998,15,8024.7,Autumn,False,1.8081,"replaced my 1st generation blackberry with this and it is excellent!! i am still learning how to use ... now i am finally up-to-date! replaced my 1st generation blackberry with this and it is excellent!! i am still learning how to use some of the many features. great price, great product!",1,"[('Lucent 330S', 2), ('Universe Note', 2)]"
ORD023972,ID0710034729,2019-06-14,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1)]",3239.5,65.29531188567702,-37.8148312,144.937653,5,3303.95,Winter,False,0.8622,"four stars good phone, full screen, love the camera.",1,"[('Thunder line', 1), ('Lucent 330S', 1)]"
ORD437207,ID0767587081,2019-07-25,Nickolson,"[('Lucent 330S', 2), ('pearTV', 2), ('Universe Note', 1), ('Olivia x460', 2)]",20980.0,78.75,-37.8077239,144.9733423,0,21058.75,Winter,True,1.2552,"this is a perfect size and weight. everything is very clear, sharp and large enough to be comfortably readable.",1,"[('Lucent 330S', 2), ('pearTV', 2), ('Universe Note', 1), ('Olivia x460', 2)]"
ORD224569,ID3293343010,2019-07-10,Nickolson,"[('Universe Note', 2), ('iAssist Line', 2), ('Toshika 750', 2)]",17991.0,77.79,-37.8238631,144.9816201,10,18068.79,Winter,True,1.2111810796392999,love it love it,1,"[('Universe Note', 2), ('iAssist Line', 2), ('Toshika 750', 2)]"
