order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD266117,ID3144992688,2019-04-02,Bakers,"[('iStream', 1), ('Candle Inferno', 2), ('pearTV', 1), ('Lucent 330S', 2)]",9780,79.97,-37.8145963,144.98489919999997,10,8881.97,Autumn,True,1.0431,"five stars works great and looks like new, so far so good",True
ORD481475,ID0506049861,2019-12-05,Thompson,"[('Thunder line', 2), ('Olivia x460', 1), ('Candle Inferno', 1)]",6015,45.66,-37.8151942,144.9397467,5,5759.91,Summer,True,0.7024,excellent excellent!,True
ORD235772,ID0356125397,2019-08-03,Nickolson,"[('Thunder line', 2), ('Toshika 750', 1), ('iStream', 2), ('Alcon 10', 2)]",26880,75.07,-37.8179472,144.9799201,10,24267.07,Winter,True,0.9147,amazing phone i bought this phone for my cousin and he loves the phone and says that the phone is amazing to use.,True
ORD064954,ID0370478025,2019-10-06,Bakers,"[('Olivia x460', 1), ('pearTV', 1)]",7535,108.85,-37.8084499,145.01278119999995,15,6513.6,Spring,True,1.553,great phone a great phone at a very attractive price. excellent clarity on both screen and audio.,True
ORD493962,ID3146808062,2019-04-15,Bakers,"[('Olivia x460', 1), ('Toshika 750', 2), ('iStream', 2)]",10165,80.59,-37.8122909,144.9840426,10,9229.09,Autumn,True,1.0167,"great phone, as described by seller great phone, as described by seller, was disappointed it didn't come with the charger, luckily i had one that would fit",True
ORD144240,ID2266563661,2019-08-20,Thompson,"[('iAssist Line', 2), ('Thunder line', 1), ('iStream', 2)]",6930,48.11,-37.808443,144.9550389,15,5938.61,Winter,False,0.8444,good product defective product,False
ORD195671,ID0580186485,2019-09-17,Thompson,"[('iAssist Line', 2), ('Toshika 750', 1)]",8770,113.46,-37.79965900000001,144.9248126,25,6690.96,Spring,True,2.4352,bought for college student as substitute for text books. works great!,True
ORD428912,ID1492410152,2019-08-05,Thompson,"[('Toshika 750', 2), ('Alcon 10', 1), ('Lucent 330S', 1)]",18820,70.14,-37.8019156,144.9635917,5,17949.14,Winter,False,1.883,best i have ever had i don't use finger print best phone i ever had,True
ORD433374,ID6167344383,2019-12-31,Nickolson,"[('Candle Inferno', 2), ('iStream', 1), ('pearTV', 1), ('iAssist Line', 2)]",11770,75.98,-37.8098938,144.96659630000005,25,8903.48,Summer,False,1.0028,very cool and lots of fun! used for a week and still learning its capabilities.,True
ORD180772,ID0493053630,2019-09-27,Bakers,"[('Thunder line', 2), ('Universe Note', 2), ('Candle Inferno', 1), ('Olivia x460', 2)]",14140,76.88,-37.8038474,144.9879446,0,14216.88,Spring,False,0.9377,"olivia make good phone. i like the fact that i didn’t waited that long for the phones, they are great phones to have. i have not had a problem with them yet.",True
ORD131400,ID0312718901,2019-10-13,Thompson,"[('iAssist Line', 1), ('iStream', 1), ('Candle Inferno', 1)]",2805,68.93,-37.8040741,144.9617565,25,2172.68,Spring,False,1.6078,one star after 1 month dont charge ane more,False
ORD303833,ID2189377511,2019-06-17,Nickolson,"[('Thunder line', 2), ('iStream', 2)]",4660,65.2,-37.8083939,144.9757389,25,3560.2,Winter,True,1.2592,"cheated! only a few months of using this phone and the lcd began to fail. how terrible, i feel ripped off. i do not buy this product again, nor has this seller.",False
ORD105719,ID2207974407,2019-05-08,Thompson,"[('Thunder line', 2), ('Olivia x460', 1)]",5585,50.5,-37.8028643,144.94809840000005,0,5635.5,Autumn,False,1.0956,unsatisfied this phone is slow when pressing buttons. it has a pink line through the screen. i am very unsatisfied,False
ORD301276,ID6167230989,2019-08-16,Thompson,"[('Thunder line', 1), ('Alcon 10', 1)]",11130,62.41,-37.81900770000001,144.9543041,15,9522.91,Winter,True,0.9498,malo pésimo. la batería estába dañada y rendía más de 5hs en reposo,False
ORD372163,ID6167344486,2019-07-10,Nickolson,"[('iAssist Line', 2), ('Olivia x460', 2), ('Toshika 750', 1), ('Lucent 330S', 2)]",13680,63.54,-37.808916,144.96615659999995,15,11691.54,Winter,True,1.118,one star could not turn ln,False
ORD403705,ID4157116151,2019-07-01,Bakers,"[('iAssist Line', 2), ('Alcon 10', 1), ('Thunder line', 1)]",15580,62.58,-37.8176863,144.9910956,0,15642.58,Winter,True,0.9301,one star doesn't work as expected or said to work,False
ORD450618,ID1224821953,2019-03-13,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 1), ('Thunder line', 1), ('Candle Inferno', 2)]",5495,65.31,-37.81311510000001,144.9386009,0,5560.31,Autumn,False,0.7463,this phone is so beautiful together with the case this phone is so beautiful together with the case. if you are planning to buy a sumsung phone go for it.,True
